"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G01010",56.1587830321578,-0.242220602390395,0.600736500719905,-0.403206068051675,0.686796636072096,0.952351789466416
"AT1G01020",42.7478780908897,-0.130339583640814,0.550507532483076,-0.236762579892258,0.812840983134163,0.977732530123451
"AT1G01030",26.1951904291965,-0.529300553121098,0.701283031657177,-0.754760245475107,0.450392851086075,0.873489542649863
"AT1G01040",56.4303912096842,0.11344442157942,0.482176849047909,0.2352755463134,0.813994873673254,0.977934376071916
"AT1G01050",63.5737908413393,0.265377559814233,0.449558794585785,0.59030668070624,0.554985061268928,0.919489212546486
"AT1G01070",16.7416089845298,0.605262545846644,1.18214860238704,0.512002082161646,0.608649552328815,0.933427470761289
"AT1G01080",179.801809095496,0.79590610723304,0.319481285448889,2.49124485058569,0.0127296360631155,0.136405982399027
"AT1G01090",294.517943368893,0.801104486442576,0.335509891519574,2.38772240906,0.0169531414182646,0.163862830822466
"AT1G01100",133.448981233362,0.321739835359626,0.584831946300687,0.550140664159625,0.58222289749068,0.926899447972959
"AT1G01120",175.319497114376,0.791433817969216,0.311993850326805,2.53669685200593,0.0111903809134346,0.126058730380182
"AT1G01140",133.474261017378,0.312167981919223,0.420139532438034,0.743010256872851,0.457475470633407,0.878226022900094
"AT1G01160",120.3518191483,0.532358444789066,0.389910741416085,1.36533413482182,0.172148055026666,0.605343097662477
"AT1G01170",49.2547627371023,1.25356268748475,0.493280698265319,2.54127658327816,0.0110448509161746,0.125211826719399
"AT1G01180",28.1606360202607,-0.17425677036621,0.766644453277034,-0.227298025338012,0.820192008480301,0.978595682848522
"AT1G01210",153.388925107367,0.243429123244722,0.503150691417062,0.483809577125163,0.628521017595113,0.940290989219202
"AT1G01220",29.7801259199476,0.772936655605465,0.571696566883736,1.35200506768594,0.176373694130471,0.61363860797865
"AT1G01230",54.5792045265786,0.291711538875699,0.526167632481127,0.554407988762332,0.579299660010102,0.926451584845973
"AT1G01240",57.1170492775447,0.911985020687653,0.605528986983739,1.50609638892835,0.132042431489389,0.536232199872886
"AT1G01260",35.0695555324047,-0.109111259547241,0.609547862659565,-0.179003596323297,0.857934877847323,0.98514263419079
"AT1G01300",130.554896855385,-0.0702893804089036,0.423708938958497,-0.165890718712896,0.868242951685263,0.986092883778186
"AT1G01320",625.048045678989,0.500221034136885,0.342598501323293,1.46007945803841,0.14426823750113,0.557690962155316
"AT1G01340",33.3558569455593,-0.928061470098853,0.667190064584315,-1.39100013528689,0.164225385727747,0.593067849502029
"AT1G01350",27.594186649738,0.242951455494525,0.621198111112444,0.391101407342412,0.695722280416885,0.953072657089238
"AT1G01420",33.3912437505025,0.878284503823586,0.534335007478039,1.64369635440681,0.100238939380313,0.46756905493797
"AT1G01430",89.3145589117832,1.0881386588779,0.365516310446537,2.97699070541768,0.00291092834851494,0.0481636869776196
"AT1G01440",36.9172806354865,0.0712586950606954,0.483427272623439,0.14740313403088,0.882813831946099,0.988184490681971
"AT1G01448",18.0771105252882,0.687729366836198,0.825611093725293,0.832994338451837,0.404847922288942,0.848729642234212
"AT1G01470",599.899052649465,-0.00244322650382206,0.40193313177327,-0.00607868899247719,0.99514993777167,0.999170322715267
"AT1G01480",57.4020140449946,-1.58823222283317,0.763654930557812,-2.07977734350912,0.0375459601321552,0.264734078826555
"AT1G01490",213.537562818262,0.42280173741007,0.49088868793594,0.861298595385937,0.389073609106202,0.841580278733844
"AT1G01500",63.1661242835215,-0.087595783882218,0.549917115276444,-0.159289066386274,0.873441134537854,0.987086072752389
"AT1G01510",28.8700234256642,0.00204475308990221,0.589768116250973,0.00346704583303054,0.997233703200232,0.999378591619191
"AT1G01540",61.4682933035686,0.357563862133426,0.422464438411391,0.846376238146783,0.397342889906495,0.844492626248331
"AT1G01550",445.66737413263,-0.484901616702968,0.411460538975341,-1.17848875109753,0.238601814272071,0.703848453203841
"AT1G01560",43.5036798493872,-1.26873875945074,0.601294446802458,-2.11001243433661,0.0348572848598224,0.253688012658692
"AT1G01590",28.3783082625294,0.225132277777948,2.30716853420435,0.097579467837007,0.922266228978107,0.994035100470903
"AT1G01610",260.523000841306,0.923316254048274,0.301478823629105,3.06262391146977,0.00219405616989554,0.0392754968688628
"AT1G01620",332.425707583817,1.37814504579179,0.313295720934372,4.39886329018989,1.08819345484115e-05,0.000592043766544362
"AT1G01630",76.5442756955316,0.144367362299548,0.393604336964286,0.366782956237209,0.713780921908045,0.95856347910484
"AT1G01650",167.563923998122,-0.18497481906601,0.342191666198856,-0.540559099877427,0.588811515246237,0.928883574557824
"AT1G01680",31.0233184297443,0.375012700841864,0.670714375772305,0.559124292527724,0.576076896796544,0.926451584845973
"AT1G01710",54.4973610469899,-0.0182039760436634,0.461224670735448,-0.0394687821330897,0.968516642363589,0.995998437910968
"AT1G01720",194.649786728121,-0.0899217986330458,0.479298467357618,-0.187611279311588,0.851181383643903,0.985045083850575
"AT1G01730",62.3193942367415,-0.787331814731345,0.43250537841002,-1.82039774308875,0.0686984558897681,0.378600389491861
"AT1G01770",29.1643714335181,0.0958038450826515,0.617261768455303,0.155207806442315,0.876657494217179,0.987773163706572
"AT1G01780",37.1982822302044,0.490211626425156,0.739042940212857,0.66330601342862,0.507134586019465,0.896098398413914
"AT1G01790",101.414292150998,0.266397441934859,0.376834711006933,0.706934457346097,0.47960720955966,0.886104622518015
"AT1G01800",51.1769448520632,0.554571169724656,0.450417393770823,1.23123835223563,0.21823373116129,0.678217524704045
"AT1G01820",140.503138393789,-0.426826017085318,0.301070141377188,-1.41769627214736,0.156279458933043,0.579672763985065
"AT1G01830",20.1947550856241,1.97173574229724,0.750247880657423,2.62811237876402,0.00858601458056713,0.105694066568005
"AT1G01860",65.3670230592839,1.32878098451561,1.01169523654081,1.31342022431477,0.189041386297736,0.634159028509287
"AT1G01900",23.134726163593,0.991292334749264,0.660108648147099,1.50171087370509,0.133171794434079,0.53747566791519
"AT1G01910",94.6149952121581,0.0293021850594943,0.51259436266554,0.0571644699858189,0.954414180702002,0.995230325371957
"AT1G01930",31.4258252163613,0.0981428256225498,0.639570960268365,0.153451034708282,0.878042601530997,0.987912679370041
"AT1G01960",103.382751501769,-0.474076640713682,0.421584314025794,-1.12451204881564,0.260795861949224,0.727879848571996
"AT1G01970",42.1388050629801,0.481773054662762,0.552445898511645,0.872072823711274,0.383168650731915,0.839292935912259
"AT1G01990",126.209243282356,0.111725163668234,0.370003321640637,0.3019571910134,0.76268469716181,0.969881909004954
"AT1G02000",41.6938869634883,-0.746023445323617,0.619768371742063,-1.20371332152151,0.228700401566231,0.691428852975896
"AT1G02020",79.6031995913314,-0.0843368522054574,0.414269394139112,-0.20357973192955,0.838681933025725,0.983448301512237
"AT1G02080",150.144940037594,-0.558294402120235,0.329034773317456,-1.69676413374579,0.0897412621082194,0.437718149231758
"AT1G02090",156.124971333027,-0.140927694170971,0.365605744233632,-0.385463566679943,0.699893994526097,0.954343455049342
"AT1G02100",40.7560464362787,0.0840956894977691,0.507244952428507,0.165789110557235,0.868322916043429,0.986093811957441
"AT1G02110",36.754322779939,0.542489080799963,0.515948508434269,1.05144035098819,0.293056391552963,0.764995632827717
"AT1G02120",758.095847472309,-0.0261258732457081,0.365903839517983,-0.0714009267574906,0.943078672048205,0.99476872461043
"AT1G02130",73.5076588968339,0.238881954612411,0.45521563408853,0.524766586918132,0.599745461840054,0.931109272820943
"AT1G02140",204.066952806669,0.230455643531611,0.358974195548235,0.641983870678093,0.520883655687333,0.904570058501758
"AT1G02145",26.7123285024459,0.582104803778842,0.62876491137934,0.925790853217081,0.354554681554048,0.816524358129739
"AT1G02150",88.0236900766701,0.569863544494662,0.47404792506843,1.20212222089655,0.229316178258377,0.691823296275791
"AT1G02160",54.6755335660534,0.829248777533107,0.614772184769138,1.34887166023055,0.177378192370514,0.615213736665672
"AT1G02170",292.749395456151,-0.539561275482054,0.294564195104331,-1.83172729221536,0.0669920603860547,0.373143198874381
"AT1G02205",437.72491312584,0.937627399156864,0.304807990083934,3.07612473970473,0.00209710091918489,0.03808822293254
"AT1G02220",21.6115247634435,-0.382726507911371,0.735471718033652,-0.520382359412302,0.602797102807492,0.931330494032557
